"","Received.Year","Received.Month","Report.Date","County.Name","Animal.Classification","Number.of.Samples","Positive.Samples","Latitude.Center.Point","Longitude.Center.Point","Geocode"
"9530",2010,10,NA,"Saratoga","Domestic Other",3,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"9531",2009,5,NA,"Yates","Cattle",1,0,42.66095,-77.05365,"POINT (-77.05365 42.66095)"
"9532",2010,7,NA,"Suffolk","Bat",4,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"9533",2022,7,NA,"Schenectady","Dog",2,0,42.81422,-73.9441,"POINT (-73.9441 42.81422)"
"9534",2015,2,NA,"Ontario","Cat",2,0,42.88749,-77.28249,"POINT (-77.28249 42.88749)"
"9535",2019,11,NA,"St. Lawrence","Wild Other",1,0,44.59563,-75.16923,"POINT (-75.16923 44.59563)"
"9536",2016,8,NA,"Nassau","Dog",1,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"9537",2010,3,NA,"Albany","Wild Other",1,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"9538",2011,2,NA,"Cortland","Cat",2,0,42.60121,-76.18048,"POINT (-76.18048 42.60121)"
"9539",2015,10,NA,"Cayuga","Raccoon",2,2,43.01032,-76.57435,"POINT (-76.57435 43.01032)"
"9540",2021,4,NA,"Chemung","Bat",1,0,42.08982,-76.80826,"POINT (-76.80826 42.08982)"
"9541",2008,7,NA,"Tioga","Bat",25,4,42.17028,-76.30633,"POINT (-76.30633 42.17028)"
"9542",2013,7,NA,"Tioga","Bat",12,1,42.17028,-76.30633,"POINT (-76.30633 42.17028)"
"9543",2011,5,NA,"Albany","Bat",12,1,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"9544",2008,8,NA,"Dutchess","Dog",1,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"9545",2018,3,NA,"Broome","Dog",2,0,42.0987,-75.91254,"POINT (-75.91254 42.0987)"
"9546",2020,10,NA,"Clinton","Skunk",1,0,44.69967,-73.45181,"POINT (-73.45181 44.69967)"
"9547",2014,6,NA,"Westchester","Cat",10,2,41.122,-73.7949,"POINT (-73.7949 41.122)"
"9548",2018,6,NA,"Erie","Wild Other",1,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"9549",2023,4,NA,"Monroe","Fox",1,1,43.15571,-77.61255,"POINT (-77.61255 43.15571)"
"9550",2013,8,NA,"Rensselaer","Bat",17,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"9551",2019,7,NA,"Nassau","Cat",5,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"9552",2021,7,NA,"Monroe","Wild Other",1,0,43.15571,-77.61255,"POINT (-77.61255 43.15571)"
"9553",2022,7,NA,"Clinton","Fox",1,0,44.69967,-73.45181,"POINT (-73.45181 44.69967)"
"9554",2020,4,NA,"Chautauqua","Fox",1,0,42.25171,-79.50169,"POINT (-79.50169 42.25171)"
"9555",2012,5,NA,"Yates","Raccoon",1,1,42.66095,-77.05365,"POINT (-77.05365 42.66095)"
"9556",2008,12,NA,"Erie","Cat",12,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"9557",2023,2,NA,"Putnam","Bat",1,0,41.42733,-73.74847,"POINT (-73.74847 41.42733)"
"9558",2016,10,NA,"Lewis","Skunk",2,1,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"9559",2012,4,NA,"Clinton","Raccoon",1,0,44.69967,-73.45181,"POINT (-73.45181 44.69967)"
"9560",2010,7,NA,"Delaware","Domestic Other",1,0,42.27959,-74.91376,"POINT (-74.91376 42.27959)"
"9561",2018,9,NA,"Ulster","Skunk",1,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"9562",2024,2,NA,"Steuben","Cat",5,0,42.26781,-77.38381,"POINT (-77.38381 42.26781)"
"9563",2008,5,NA,"Jefferson","Bat",7,0,43.97238,-75.91125,"POINT (-75.91125 43.97238)"
"9564",2021,7,NA,"Rensselaer","Cat",3,1,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"9565",2012,10,NA,"Niagara","Bat",1,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"9566",2015,3,NA,"Orange","Bat",2,0,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
"9567",2020,3,NA,"Niagara","Cat",1,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"9568",2015,11,NA,"Broome","Dog",1,0,42.0987,-75.91254,"POINT (-75.91254 42.0987)"
"9569",2016,4,NA,"Cattaraugus","Dog",1,0,42.24942,-78.79884,"POINT (-78.79884 42.24942)"
"9570",2008,8,NA,"Orleans","Cat",1,0,43.24625,-78.19376,"POINT (-78.19376 43.24625)"
"9571",2020,5,NA,"Genesee","Cat",1,1,42.9838,-78.1564,"POINT (-78.1564 42.9838)"
"9572",2023,10,NA,"Rensselaer","Bat",1,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"9573",2016,3,NA,"Chemung","Bat",1,0,42.08982,-76.80826,"POINT (-76.80826 42.08982)"
"9574",2022,6,NA,"Otsego","Bat",8,0,42.70102,-74.9268,"POINT (-74.9268 42.70102)"
"9575",2014,5,NA,"Warren","Cat",1,0,43.42622,-73.71242,"POINT (-73.71242 43.42622)"
"9576",2012,6,NA,"Lewis","Raccoon",1,0,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"9577",2008,1,NA,"Herkimer","Skunk",1,1,43.02599,-74.98441,"POINT (-74.98441 43.02599)"
"9578",2023,3,NA,"Lewis","Dog",1,0,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"9579",2020,6,NA,"Nassau","Cat",5,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"9580",2023,1,NA,"Dutchess","Dog",1,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"9581",2021,3,NA,"Ontario","Wild Other",1,0,42.88749,-77.28249,"POINT (-77.28249 42.88749)"
"9582",2019,4,NA,"Tompkins","Cat",1,0,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"9583",2014,5,NA,"Onondaga","Bat",21,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"9584",2022,6,NA,"Livingston","Bat",1,0,42.80006,-77.81584,"POINT (-77.81584 42.80006)"
"9585",2008,9,NA,"Dutchess","Bat",5,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"9586",2017,6,NA,"Wayne","Bat",7,0,43.06169,-76.99171,"POINT (-76.99171 43.06169)"
"9587",2018,8,NA,"Oswego","Domestic Other",1,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"9588",2017,2,NA,"Warren","Dog",2,0,43.42622,-73.71242,"POINT (-73.71242 43.42622)"
"9589",2021,1,NA,"Oneida","Bat",3,1,43.10205,-75.23,"POINT (-75.23 43.10205)"
"9590",2020,11,NA,"Oswego","Domestic Other",1,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"9591",2023,5,NA,"Jefferson","Dog",1,0,43.97238,-75.91125,"POINT (-75.91125 43.97238)"
"9592",2017,10,NA,"Lewis","Fox",1,0,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"9593",2019,5,NA,"Broome","Wild Other",1,0,42.0987,-75.91254,"POINT (-75.91254 42.0987)"
"9594",2017,8,NA,"Erie","Raccoon",15,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"9595",2012,6,NA,"Warren","Cat",1,0,43.42622,-73.71242,"POINT (-73.71242 43.42622)"
"9596",2010,8,NA,"Yates","Domestic Other",1,0,42.66095,-77.05365,"POINT (-77.05365 42.66095)"
"9597",2010,12,NA,"Saratoga","Cat",4,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"9598",2021,3,NA,"Cattaraugus","Cat",1,0,42.24942,-78.79884,"POINT (-78.79884 42.24942)"
"9599",2008,3,NA,"Schenectady","Bat",4,0,42.81422,-73.9441,"POINT (-73.9441 42.81422)"
"9600",2010,5,NA,"Cayuga","Rodents",1,0,43.01032,-76.57435,"POINT (-76.57435 43.01032)"
"9601",2023,12,NA,"Montgomery","Skunk",1,1,42.95571,-74.37199,"POINT (-74.37199 42.95571)"
"9602",2012,11,NA,"Chautauqua","Bat",2,0,42.25171,-79.50169,"POINT (-79.50169 42.25171)"
"9603",2007,5,NA,"Albany","Skunk",1,1,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"9604",2016,6,NA,"Greene","Rodents",1,0,42.21761,-73.86491,"POINT (-73.86491 42.21761)"
"9605",2014,1,NA,"Rockland","Bat",2,0,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"9606",2014,10,NA,"Erie","Domestic Other",1,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"9607",2022,8,NA,"Ontario","Cat",4,0,42.88749,-77.28249,"POINT (-77.28249 42.88749)"
"9608",2021,5,NA,"Livingston","Bat",1,0,42.80006,-77.81584,"POINT (-77.81584 42.80006)"
"9609",2014,10,NA,"Jefferson","Bat",1,0,43.97238,-75.91125,"POINT (-75.91125 43.97238)"
"9610",2024,2,NA,"Oneida","Cat",1,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"9611",2020,4,NA,"Ulster","Bat",1,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"9612",2014,5,NA,"Clinton","Raccoon",12,0,44.69967,-73.45181,"POINT (-73.45181 44.69967)"
"9613",2010,9,NA,"Orange","Bat",3,0,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
"9614",2017,6,NA,"Otsego","Cat",1,0,42.70102,-74.9268,"POINT (-74.9268 42.70102)"
"9615",2010,8,NA,"Oneida","Fox",1,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"9616",2008,11,NA,"Erie","Skunk",2,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"9617",2013,2,NA,"St. Lawrence","Raccoon",2,0,44.59563,-75.16923,"POINT (-75.16923 44.59563)"
"9618",2021,1,NA,"Westchester","Bat",2,0,41.122,-73.7949,"POINT (-73.7949 41.122)"
"9619",2015,9,NA,"St. Lawrence","Bat",1,0,44.59563,-75.16923,"POINT (-75.16923 44.59563)"
"9620",2010,7,NA,"Herkimer","Wild Other",1,0,43.02599,-74.98441,"POINT (-74.98441 43.02599)"
"9621",2012,5,NA,"Schoharie","Cattle",1,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"9622",2009,8,NA,"Erie","Wild Other",2,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"9623",2016,6,NA,"Sullivan","Bat",3,0,41.65454,-74.68491,"POINT (-74.68491 41.65454)"
"9624",2011,12,NA,"Otsego","Wild Other",1,0,42.70102,-74.9268,"POINT (-74.9268 42.70102)"
"9625",2012,5,NA,"Oswego","Domestic Other",1,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"9626",2015,12,NA,"Jefferson","Skunk",3,3,43.97238,-75.91125,"POINT (-75.91125 43.97238)"
"9627",2010,4,NA,"Genesee","Raccoon",1,1,42.9838,-78.1564,"POINT (-78.1564 42.9838)"
"9628",2009,7,NA,"Clinton","Raccoon",5,0,44.69967,-73.45181,"POINT (-73.45181 44.69967)"
"9629",2015,4,NA,"Otsego","Bat",2,0,42.70102,-74.9268,"POINT (-74.9268 42.70102)"
"9630",2017,3,NA,"St. Lawrence","Bat",2,0,44.59563,-75.16923,"POINT (-75.16923 44.59563)"
"9631",2008,9,NA,"Saratoga","Rodents",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"9632",2008,12,NA,"Nassau","Wild Other",1,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"9633",2013,8,NA,"Livingston","Wild Other",1,0,42.80006,-77.81584,"POINT (-77.81584 42.80006)"
"9634",2023,12,NA,"Orange","Bat",1,0,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
"9635",2014,8,NA,"Rensselaer","Bat",16,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"9636",2017,5,NA,"Putnam","Cat",2,0,41.42733,-73.74847,"POINT (-73.74847 41.42733)"
"9637",2012,11,NA,"Steuben","Cattle",1,0,42.26781,-77.38381,"POINT (-77.38381 42.26781)"
"9638",2024,1,NA,"Tompkins","Wild Other",1,0,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"9639",2010,10,NA,"Suffolk","Bat",1,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"9640",2017,8,NA,"Chautauqua","Bat",8,0,42.25171,-79.50169,"POINT (-79.50169 42.25171)"
"9641",2019,10,NA,"Wyoming","Cattle",1,0,42.74022,-78.13259,"POINT (-78.13259 42.74022)"
"9642",2013,1,NA,"Westchester","Wild Other",1,0,41.122,-73.7949,"POINT (-73.7949 41.122)"
"9643",2023,3,NA,"Erie","Bat",7,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"9644",2018,6,NA,"Nassau","Cat",6,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"9645",2008,10,NA,"Rensselaer","Bat",1,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"9646",2008,8,NA,"Lewis","Skunk",1,0,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"9647",2016,11,NA,"Albany","Dog",1,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"9648",2014,9,NA,"Rensselaer","Cat",2,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"9649",2023,9,NA,"Rockland","Cat",1,0,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"9650",2013,12,NA,"Washington","Bat",1,0,43.26707,-73.58484,"POINT (-73.58484 43.26707)"
"9651",2023,3,NA,"Oswego","Wild Other",1,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"9652",2014,11,NA,"Rensselaer","Cat",1,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"9653",2022,7,NA,"Warren","Raccoon",2,0,43.42622,-73.71242,"POINT (-73.71242 43.42622)"
"9654",2020,2,NA,"Schoharie","Dog",1,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"9655",2017,3,NA,"Onondaga","Wild Other",2,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"9656",2014,3,NA,"Otsego","Bat",2,0,42.70102,-74.9268,"POINT (-74.9268 42.70102)"
"9657",2019,9,NA,"Livingston","Wild Other",1,0,42.80006,-77.81584,"POINT (-77.81584 42.80006)"
"9658",2018,10,NA,"Hamilton","Wild Other",1,0,43.47081,-74.41132,"POINT (-74.41132 43.47081)"
"9659",2014,7,NA,"Tompkins","Cat",1,0,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"9660",2011,3,NA,"Rockland","Cat",1,0,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"9661",2008,6,NA,"Seneca","Cat",1,0,42.78105,-76.82376,"POINT (-76.82376 42.78105)"
"9662",2018,6,NA,"Montgomery","Bat",2,0,42.95571,-74.37199,"POINT (-74.37199 42.95571)"
"9663",2022,4,NA,"Wyoming","Bat",1,0,42.74022,-78.13259,"POINT (-78.13259 42.74022)"
"9664",2014,7,NA,"Saratoga","Fox",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"9665",2019,7,NA,"Albany","Dog",2,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"9666",2013,12,NA,"Allegany","Dog",1,0,42.34332,-78.11192,"POINT (-78.11192 42.34332)"
"9667",2008,11,NA,"Greene","Skunk",1,1,42.21761,-73.86491,"POINT (-73.86491 42.21761)"
"9668",2012,9,NA,"Oswego","Cattle",1,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"9669",2009,7,NA,"Schenectady","Bat",9,1,42.81422,-73.9441,"POINT (-73.9441 42.81422)"
"9670",2012,5,NA,"Washington","Bat",2,0,43.26707,-73.58484,"POINT (-73.58484 43.26707)"
"9671",2021,11,NA,"Schenectady","Wild Other",1,1,42.81422,-73.9441,"POINT (-73.9441 42.81422)"
"9672",2011,2,NA,"Niagara","Raccoon",3,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"9673",2020,1,NA,"Steuben","Wild Other",3,1,42.26781,-77.38381,"POINT (-77.38381 42.26781)"
"9674",2011,1,NA,"Chautauqua","Cat",1,0,42.25171,-79.50169,"POINT (-79.50169 42.25171)"
"9675",2010,5,NA,"Herkimer","Bat",2,0,43.02599,-74.98441,"POINT (-74.98441 43.02599)"
"9676",2020,5,NA,"Albany","Raccoon",1,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"9677",2010,8,NA,"Saratoga","Dog",2,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"9678",2008,7,NA,"Clinton","Fox",2,0,44.69967,-73.45181,"POINT (-73.45181 44.69967)"
"9679",2010,3,NA,"Erie","Bat",13,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"9680",2011,7,NA,"Ulster","Rodents",1,1,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"9681",2010,12,NA,"Orleans","Raccoon",1,0,43.24625,-78.19376,"POINT (-78.19376 43.24625)"
"9682",2016,6,NA,"Ulster","Cat",6,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"9683",2012,6,NA,"Franklin","Raccoon",3,0,44.84888,-74.29136,"POINT (-74.29136 44.84888)"
"9684",2020,8,NA,"Suffolk","Raccoon",2,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"9685",2008,1,NA,"Warren","Bat",12,0,43.42622,-73.71242,"POINT (-73.71242 43.42622)"
"9686",2018,7,NA,"Saratoga","Cat",3,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"9687",2009,4,NA,"Yates","Cat",1,0,42.66095,-77.05365,"POINT (-77.05365 42.66095)"
"9688",2021,11,NA,"Broome","Cat",2,0,42.0987,-75.91254,"POINT (-75.91254 42.0987)"
"9689",2017,12,NA,"Washington","Domestic Other",1,0,43.26707,-73.58484,"POINT (-73.58484 43.26707)"
"9690",2023,10,NA,"Seneca","Cattle",1,0,42.78105,-76.82376,"POINT (-76.82376 42.78105)"
"9691",2023,8,NA,"Allegany","Domestic Other",1,0,42.34332,-78.11192,"POINT (-78.11192 42.34332)"
"9692",2008,6,NA,"St. Lawrence","Fox",1,0,44.59563,-75.16923,"POINT (-75.16923 44.59563)"
"9693",2015,2,NA,"Niagara","Cattle",1,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"9694",2009,1,NA,"Livingston","Cat",2,0,42.80006,-77.81584,"POINT (-77.81584 42.80006)"
"9695",2009,4,NA,"Dutchess","Bat",3,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"9696",2021,5,NA,"Orange","Bat",4,1,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
"9697",2016,5,NA,"Schuyler","Bat",1,0,42.39501,-76.87556,"POINT (-76.87556 42.39501)"
"9698",2020,6,NA,"Saratoga","Dog",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"9699",2016,2,NA,"Ulster","Cat",2,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"9700",2023,5,NA,"Onondaga","Cat",8,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"9701",2009,1,NA,"Orleans","Cat",1,0,43.24625,-78.19376,"POINT (-78.19376 43.24625)"
"9702",2018,2,NA,"Westchester","Cat",4,0,41.122,-73.7949,"POINT (-73.7949 41.122)"
"9703",2012,3,NA,"Tioga","Dog",1,0,42.17028,-76.30633,"POINT (-76.30633 42.17028)"
"9704",2015,6,NA,"Saratoga","Cat",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"9705",2021,3,NA,"Delaware","Raccoon",1,1,42.27959,-74.91376,"POINT (-74.91376 42.27959)"
"9706",2018,12,NA,"Ontario","Bat",1,0,42.88749,-77.28249,"POINT (-77.28249 42.88749)"
"9707",2012,11,NA,"Erie","Dog",9,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"9708",2013,10,NA,"Onondaga","Bat",2,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"9709",2016,4,NA,"Lewis","Cattle",1,0,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"9710",2012,7,NA,"Rockland","Bat",8,0,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"9711",2023,10,NA,"Clinton","Dog",3,0,44.69967,-73.45181,"POINT (-73.45181 44.69967)"
"9712",2022,4,NA,"Suffolk","Bat",2,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"9713",2014,6,NA,"Yates","Fox",1,1,42.66095,-77.05365,"POINT (-77.05365 42.66095)"
"9714",2007,9,NA,"Albany","Raccoon",2,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"9715",2014,5,NA,"Chemung","Bat",1,0,42.08982,-76.80826,"POINT (-76.80826 42.08982)"
"9716",2016,10,NA,"Erie","Wild Other",1,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"9717",2021,6,NA,"Greene","Bat",2,0,42.21761,-73.86491,"POINT (-73.86491 42.21761)"
"9718",2010,3,NA,"Madison","Rodents",1,0,42.91287,-75.66973,"POINT (-75.66973 42.91287)"
"9719",2018,5,NA,"Oswego","Bat",11,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"9720",2010,10,NA,"Onondaga","Cat",5,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"9721",2022,3,NA,"Erie","Bat",22,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"9722",2012,9,NA,"Orange","Cat",3,0,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
"9723",2019,3,NA,"Dutchess","Bat",5,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"9724",2017,12,NA,"Allegany","Wild Other",2,0,42.34332,-78.11192,"POINT (-78.11192 42.34332)"
"9725",2018,8,NA,"Sullivan","Fox",1,1,41.65454,-74.68491,"POINT (-74.68491 41.65454)"
"9726",2012,2,NA,"Chenango","Raccoon",1,1,42.53122,-75.52378,"POINT (-75.52378 42.53122)"
"9727",2007,12,NA,"Suffolk","Dog",2,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"9728",2014,12,NA,"Schoharie","Cat",3,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"9729",2008,7,NA,"Cayuga","Fox",1,0,43.01032,-76.57435,"POINT (-76.57435 43.01032)"
"9730",2019,11,NA,"Putnam","Bat",2,0,41.42733,-73.74847,"POINT (-73.74847 41.42733)"
"9731",2013,11,NA,"Tompkins","Skunk",1,0,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"9732",2013,5,NA,"Cayuga","Cat",1,0,43.01032,-76.57435,"POINT (-76.57435 43.01032)"
"9733",2017,12,NA,"Genesee","Bat",1,0,42.9838,-78.1564,"POINT (-78.1564 42.9838)"
"9734",2008,10,NA,"Herkimer","Cat",1,0,43.02599,-74.98441,"POINT (-74.98441 43.02599)"
"9735",2009,1,NA,"Wayne","Bat",3,0,43.06169,-76.99171,"POINT (-76.99171 43.06169)"
"9736",2009,4,NA,"Sullivan","Dog",3,0,41.65454,-74.68491,"POINT (-74.68491 41.65454)"
"9737",2013,8,NA,"Erie","Skunk",5,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"9738",2011,9,NA,"Allegany","Domestic Other",1,0,42.34332,-78.11192,"POINT (-78.11192 42.34332)"
"9739",2012,12,NA,"Tompkins","Wild Other",1,0,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"9740",2024,5,NA,"Niagara","Cat",2,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"9741",2017,6,NA,"Suffolk","Raccoon",8,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"9742",2024,5,NA,"Essex","Raccoon",4,2,44.21634,-73.59043,"POINT (-73.59043 44.21634)"
"9743",2011,9,NA,"Niagara","Bat",3,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"9744",2023,11,NA,"Erie","Dog",13,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"9745",2014,6,NA,"Broome","Domestic Other",1,0,42.0987,-75.91254,"POINT (-75.91254 42.0987)"
"9746",2018,10,NA,"St. Lawrence","Skunk",1,0,44.59563,-75.16923,"POINT (-75.16923 44.59563)"
"9747",2019,6,NA,"Sullivan","Rodents",1,0,41.65454,-74.68491,"POINT (-74.68491 41.65454)"
"9748",2021,3,NA,"Tioga","Wild Other",2,0,42.17028,-76.30633,"POINT (-76.30633 42.17028)"
"9749",2018,10,NA,"Monroe","Cat",3,0,43.15571,-77.61255,"POINT (-77.61255 43.15571)"
"9750",2016,9,NA,"Ulster","Rodents",1,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"9751",2024,1,NA,"Chemung","Raccoon",1,1,42.08982,-76.80826,"POINT (-76.80826 42.08982)"
"9752",2008,6,NA,"Dutchess","Domestic Other",1,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"9753",2010,2,NA,"Washington","Cat",2,0,43.26707,-73.58484,"POINT (-73.58484 43.26707)"
"9754",2014,6,NA,"Montgomery","Dog",1,0,42.95571,-74.37199,"POINT (-74.37199 42.95571)"
"9755",2009,1,NA,"Rensselaer","Raccoon",1,1,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"9756",2024,5,NA,"Schoharie","Cattle",1,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"9757",2018,1,NA,"Tioga","Bat",1,0,42.17028,-76.30633,"POINT (-76.30633 42.17028)"
"9758",2008,9,NA,"Suffolk","Bat",9,2,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"9759",2019,10,NA,"Jefferson","Raccoon",23,1,43.97238,-75.91125,"POINT (-75.91125 43.97238)"
"9760",2016,8,NA,"Wayne","Bat",10,0,43.06169,-76.99171,"POINT (-76.99171 43.06169)"
"9761",2013,2,NA,"Franklin","Raccoon",1,0,44.84888,-74.29136,"POINT (-74.29136 44.84888)"
"9762",2018,1,NA,"Erie","Raccoon",3,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"9763",2021,12,NA,"Saratoga","Cat",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"9764",2020,11,NA,"Dutchess","Raccoon",1,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"9765",2021,7,NA,"Columbia","Bat",4,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"9766",2021,1,NA,"Essex","Wild Other",1,0,44.21634,-73.59043,"POINT (-73.59043 44.21634)"
"9767",2010,3,NA,"Westchester","Cat",5,0,41.122,-73.7949,"POINT (-73.7949 41.122)"
"9768",2012,6,NA,"Clinton","Rodents",3,0,44.69967,-73.45181,"POINT (-73.45181 44.69967)"
"9769",2016,5,NA,"Cattaraugus","Fox",1,1,42.24942,-78.79884,"POINT (-78.79884 42.24942)"
"9770",2011,6,NA,"Allegany","Domestic Other",1,0,42.34332,-78.11192,"POINT (-78.11192 42.34332)"
"9771",2021,8,NA,"Tioga","Dog",1,0,42.17028,-76.30633,"POINT (-76.30633 42.17028)"
"9772",2012,12,NA,"Essex","Domestic Other",2,0,44.21634,-73.59043,"POINT (-73.59043 44.21634)"
"9773",2019,5,NA,"Onondaga","Bat",1,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"9774",2013,10,NA,"Washington","Dog",2,0,43.26707,-73.58484,"POINT (-73.58484 43.26707)"
"9775",2014,6,NA,"Rensselaer","Rodents",1,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"9776",2017,12,NA,"Orange","Cat",3,0,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
"9777",2013,4,NA,"Allegany","Bat",1,0,42.34332,-78.11192,"POINT (-78.11192 42.34332)"
"9778",2022,2,NA,"Orange","Domestic Other",1,0,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
